ID,Title,Detail,Status,Priority,Deadline
"Unique task identifier","Brief task name","Task description","Completion percentage","Priority level","Task due date"
4,"Build model for IoT Challenge","",0%,"",""
89,"graduate project","",0%,"",""
6,"Buy a new book ","",0%,"",""
2,"Check mail","",0%,"",""
3,"shoping","",0%,"",""
1,"Remind class of duty shift","",0%,"",""
12,"AI homework","",0%,"",""
5,"Simulate photonic chip's trip","",0%,"",""
9,"photonic design","",0%,"",""
7,"digital design","",10%,"",""
11,"electromagnetic field","",20%,"",""
8,"Homework","",20%,"",""
14,"coding","",30%,"",""
10,"theory circuit ","",30%,"",""
16,"do laundry","",70%,"",""
